POSTGRESQL,SQLSERVER,EXCEL,ORACLE,SAP_ODATA,MYSQL,SNOWFLAKE,MONGO_DB
serial,smallint,,number,,smallinit,number,
bigserial,int,,number,,int,number,
int2,smallint,,number,Edm.Int16,smallint,number,int
int4,int,,number,Edm.Int32,int,number,int
int8,bigint,,number,Edm.Int64,bigint,number,long
numeric,decimal,,number,,decimal,decimal,decimal
numeric_without_prec_scale,varchar,,varchar2,,varchar,varchar,double
float4,real,float64,binary_float,,float,string,float
float8,float,,binary_double,,double,float,double
money,float,,binary_double,,double,varchar,
bytea,varbinary,,blob,,blob,binary,binData
varchar,varchar,object,varchar2,,varchar,varchar,string
bpchar,varchar,,varchar2,,varchar,varchar,string
text,varchar,,varchar2,,varchar,varchar,string
cidr,varchar,,varchar2,,varchar,varchar,string
inet,varchar,,varchar2,,varchar,varchar,string
macaddr,varchar,,varchar2,,varchar,varchar,string
macaddr8,varchar,,varchar2,,varchar,varchar,string
bit,varchar,,varchar2,,varchar,varchar,string
uuid,varchar,,varchar2,,varchar,varchar,string
xml,varchar,,varchar2,Edm.String,varchar,varchar,string
json,text,,nclob,,json,object,object
jsonb,text,,nclob,,json,object,object
tsvector,,,varchar2,,varchar,varchar,string
tsquery,,,varchar2,,varchar,varchar,string
timestamp,datetime2,datetime64[ns],timestamp,,datetime,timestamp_ntz,isodate
timestamptz,datetime2,,timestamp,,datetime,timestamp_ntz,isodate
date,date,,date,,DATE,date,isodate
time,time,,varchar2,,time,time,isodate
timetz,time,,varchar2,,time,time,isodate
interval,varchar,,varchar2,,varchar,varchar,
point,varchar,,varchar2,,varchar,varchar,object
line,varchar,,varchar2,,varchar,varchar,object
lseg,varchar,,varchar2,,varchar,varchar,object
box,varchar,,varchar2,,varchar,varchar,object
path,varchar,,varchar2,,varchar,varchar,object
polygon,varchar,,varchar2,,varchar,varchar,object
circle,varchar,,varchar2,,varchar,varchar,object
geometry,text,,nclob,,json,geometry,object
array,varchar,,varchar2,,varchar,varchar,array
composite,varchar,,varchar2,,varchar,varchar,
range,varchar,,varchar2,,varchar,varchar,
oid,bigint,,number,,int unsigned,number,
pg_lsn,varchar,,varchar2,,varchar,varchar,
bool,bit,bool,number,Edm.Boolean,BIT,boolean,boolean
char,char,,char,Edm.Guid,CHAR,varchar,string
name,varchar,,varchar2,,varchar,varchar,string
sl_timestamp,datetimeoffset,,timestamp,,datetime,timestamp_tz,isodate
character varying,,,,,,varchar,
timestamp without time zone,,,,,,timestamp_ntz,
timestamp with timestamp,,,,,,timestamp_tz,
character,,,,,,varchar,
integer,,,,,,number,
bigint,,,,,,number,
,datetime,,,,,timestamp_ntz,
,nvarchar,,,,,varchar,
,smalldatetime,,,Edm.DateTime,,timestamp_ntz,
,tinyint,,,,,number,
,binary,,,,,varchar,
boolean,,,,,,boolean,
text,,,,,,varchar,
,,int64,,,,varchar,
,,integer,,,,varchar,
,,,,Edm.Decimal,,float,
,,,,Edm.Time,,timestamp_tz,
,,,,Edm.Double,,DOUBLE,
,,,,Edm.Binary,,Varchar,
,,,,Edm.Byte,,VARCHAR,
,,object,,,,VARCHAR,
