CONTROL_ID,SRC_DB_NAME,DATABASE_NAME,SCHEMA_NAME,SERVICE_URL,OBJ_TYPE,OBJ_NAME,INSRT_TIME_COL,UPDT_TIME_COL,PRIMARY_KEY_COL,COL_NAMES,IS_DELETION,DELETED_TBL,SF_TBL,ENTITY_VALUE,FILTER_VALUE,CLIENT,MASTER_TBL
1,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_ADR6Set,inserted_timestamp,inserted_timestamp,"Client,Addrnumber,Persnumber,Consnumber",*,NO,,ADR6_SAP,OS_ADR6Set,,?sap-client=120,
2,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_ADRCSet,inserted_timestamp,inserted_timestamp,"DateFrom,Client,Addrnumber,Nation",*,NO,,ADRC_SAP,OS_ADRCSet,,?sap-client=120,
3,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_ADRCTSet,inserted_timestamp,inserted_timestamp,"Client,Addrnumber,Nation,Langu",*,NO,,ADRCT_SAP,OS_ADRCTSet,,?sap-client=120,
4,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_AUSPSet,inserted_timestamp,inserted_timestamp,Mandt,*,NO,,AUSP_SAP,OS_AUSPSet,,?sap-client=120,
5,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BKPFSet,Aedat,Aedat,"Mandt,Gjahr,Bukrs,Belnr",*,NO,,BKPF_SAP,OS_BKPFSet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
6,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BSADSet,inserted_timestamp,inserted_timestamp,"Mandt,Bukrs,Kunnr,Umsks,Umskz,Augdt,Augbl,Zuonr,Gjahr,Belnr,Buzei",*,NO,,BSAD_SAP,OS_BSADSet,,?sap-client=120,
7,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BSASSet,inserted_timestamp,inserted_timestamp,"Mandt,Bukrs,Hkont,Augdt,Augbl,Zuonr,Gjahr,Belnr,Buzei,Budat,Bldat",*,NO,,BSAS_SAP,OS_BSASSet,'PRCTR' eq '1500GZ0001' and 'DATE' eq ,?sap-client=120,
8,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BSEGSet,inserted_timestamp,inserted_timestamp,"Mandt,Bukrs,Belnr,Gjahr,Buzei",*,NO,,BSEG_SAP,OS_BSEGSet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
9,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BSIDSet,inserted_timestamp,inserted_timestamp,"Augdt,Mandt,Bukrs,Kunnr,Umsks,Umskz,Augbl,Zuonr,Gjahr,Belnr,Buzei",*,NO,,BSID_SAP,OS_BSIDSet,,?sap-client=120,
10,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BSISSet,inserted_timestamp,inserted_timestamp,"Zuonr,Mandt,Hkont,Gjahr,Buzei,Bukrs,Belnr,Augdt,Augbl",*,NO,,BSIS_SAP,OS_BSISSet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
11,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BUT000Set,inserted_timestamp,inserted_timestamp,"Client,Partner",*,NO,,BUT000_SAP,OS_BUT000Set,,?sap-client=120,
12,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_BUT0IDSet,inserted_timestamp,inserted_timestamp,"Client,Partner,Type,Idnumber",*,NO,,BUT0ID_SAP,OS_BUT0IDSet,,?sap-client=120,
13,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_CABNSet,inserted_timestamp,inserted_timestamp,"Mandt,Atinn,Adzhl",*,NO,,CABN_SAP,OS_CABNSet,,?sap-client=120,
14,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_CBUPACONTACTSet,inserted_timestamp,inserted_timestamp,"Mandt,Businesspartner,Businesspartnerperson,Relationshipnumber,Businesspartnerforedit,Businesspartnerpersonforedit,Relationshipnumberforedit,Personuuid,Formofaddress,Firstname,Lastname,Validitystartdate,Validityenddate,Phonenumbercountry,Phonenumber,Phonenumberextension,Mobilephonecountry,Mobilephonenumber,Faxcountry,Faxnumber,Faxnumberextension,Emailaddress,Contactpersonfunction,Contactpersondepartment,Building,Floor,Roomnumber,Fullname,Businesspartnercategory",*,NO,,CBUPACONTACT_SAP,OS_CBUPACONTACTSet,,?sap-client=120,
15,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_CBUPACUSTSet,inserted_timestamp,inserted_timestamp,"Mandt,Businesspartner",*,NO,,CBUPACUST_SAP,OS_CBUPACUSTSet,,?sap-client=120,
16,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_EKBESet,inserted_timestamp,inserted_timestamp,"Zekkn,Vgabe,Mandt,Gjahr,Ebelp,Ebeln,Buzei,Belnr",*,NO,,EKBE_SAP,OS_EKBESet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
17,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_EKKOSet,Aedat,Aedat,"Mandt,Ebeln",*,NO,,EKKO_SAP,OS_EKKOSet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
18,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_EKPOSet,Aedat,Aedat,"Mandt,Ebeln,Ebelp",*,NO,,EKPO_SAP,OS_EKPOSet,'KOPRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
19,SAP_ODATA,DEMO_DB,GOTXN_SH,http://10.80.49.45:8000/sap/opu/odata/sap/Z_ODATA_DATA_LOAD_DELTA_SRV/,TABLE,OS_FLAGLFLEXASet,inserted_timestamp,inserted_timestamp,"Rclnt,Ryear,Docnr,Rldnr,Rbukrs,Docln",*,NO,,FAGLFLEXA_SAP,OS_FLAGLFLEXASet,'PRCTR' eq '1500GZ0001' and 'DATE' eq,?sap-client=120,
